strategy,threshold,trades,wins,wr,pnl,final_balance
BAKKAL v3 (min_score>=4),-,1128,418,37.05673758865248,-21.626550475870708,78.37344952412928
BAKKAL + BRAIN,0.50,372,145,38.97849462365591,1.9617678558771618,101.96176785587716
BAKKAL + BRAIN,0.53,300,123,41.0,7.826206505275196,107.8262065052752
BAKKAL + BRAIN,0.55,251,98,39.04382470119522,3.930549597069917,103.93054959706991
BAKKAL + BRAIN,0.58,206,78,37.86407766990291,4.69699758592902,104.69699758592903
BAKKAL + BRAIN,0.60,165,67,40.60606060606061,4.435983320606287,104.43598332060628
BAKKAL + BRAIN,0.62,142,57,40.140845070422536,4.439418442423063,104.43941844242306
BAKKAL + BRAIN,0.65,104,42,40.38461538461539,5.93463255558029,105.9346325555803
BRAIN TEK BAŞINA,0.50,1545,643,41.618122977346275,2.8785740736953143,102.87857407369532
BRAIN TEK BAŞINA,0.53,1401,580,41.39900071377588,6.219542799642212,106.21954279964221
BRAIN TEK BAŞINA,0.55,1254,522,41.62679425837321,4.194545087722286,104.19454508772229
BRAIN TEK BAŞINA,0.58,1056,435,41.19318181818182,5.710125271214901,105.7101252712149
BRAIN TEK BAŞINA,0.60,931,393,42.21267454350161,8.897193416467976,108.89719341646797
BRAIN TEK BAŞINA,0.62,809,337,41.65636588380717,7.150924659981473,107.15092465998147
BRAIN TEK BAŞINA,0.65,639,256,40.062597809076685,3.104360845174874,103.10436084517488
